time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-06-24T19:34:50.020Z,-3.1934,130.5185,33.04,4.7,mb,,68,1.749,1.06,us,us1000f0gy,2018-06-24T19:53:47.040Z,"178km E of Amahai, Indonesia",earthquake,7.5,5.5,0.093,35,reviewed,us,us
2018-06-24T19:14:24.970Z,-5.2839,68.5939,10,5,mb,,192,4.379,0.99,us,us1000f0gq,2018-06-24T19:39:22.040Z,"Chagos Archipelago region",earthquake,14.5,1.9,0.094,36,reviewed,us,us
2018-06-24T18:43:42.900Z,-9.0317,-108.54,10,5.7,mww,,145,19.98,0.97,us,us1000f0fv,2018-06-25T20:18:20.484Z,"Central East Pacific Rise",earthquake,8,1.8,0.062,25,reviewed,us,us
2018-06-24T18:33:32.050Z,-9.149,-108.6839,10,4.9,mb,,158,20.157,0.79,us,us1000f0fl,2018-06-24T18:51:57.040Z,"Central East Pacific Rise",earthquake,15,1.9,0.031,334,reviewed,us,us
2018-06-24T18:16:49.620Z,5.4216,126.249,95.96,4.5,mb,,123,1.767,1.03,us,us1000f0f3,2018-06-24T20:07:06.040Z,"86km SE of Caburan, Philippines",earthquake,6,6.9,0.052,111,reviewed,us,us
2018-06-24T15:30:32.310Z,5.7051,125.4854,76.39,4.5,mb,,107,1.358,0.69,us,us1000f0c5,2018-06-24T15:55:39.040Z,"2km SW of Kalbay, Philippines",earthquake,8.4,8,0.072,57,reviewed,us,us
2018-06-24T15:09:32.960Z,-22.6353,-176.3063,63.86,5.2,mww,,35,6.742,1.11,us,us1000f0bn,2018-06-24T16:01:43.040Z,"195km SW of Vaini, Tonga",earthquake,8.3,4.8,0.073,18,reviewed,us,us
2018-06-24T14:00:15.470Z,-3.4358,130.6144,36.89,4.5,mb,,82,1.71,0.85,us,us1000f0ad,2018-06-24T15:13:48.040Z,"189km E of Amahai, Indonesia",earthquake,9.9,10.1,0.136,16,reviewed,us,us
2018-06-24T13:18:08.620Z,43.621,147.4907,86.7,4.6,mb,,118,3.569,0.58,us,us1000f09r,2018-06-24T14:57:29.040Z,"65km ESE of Shikotan, Russia",earthquake,10.6,7.9,0.071,59,reviewed,us,us
2018-06-24T13:05:34.520Z,-59.2837,-26.8886,117.13,4.9,mb,,123,15.712,0.95,us,us1000f09j,2018-06-24T14:34:55.040Z,"35km SW of Bristol Island, South Sandwich Islands",earthquake,14.9,7.2,0.11,29,reviewed,us,us
2018-06-24T09:41:54.780Z,9.2633,125.6161,47.98,4.8,mb,,56,2.179,0.5,us,us1000f06j,2018-06-29T06:10:05.776Z,"6km ENE of Jagupit, Philippines",earthquake,8.6,7.1,0.051,118,reviewed,us,us
2018-06-24T06:49:09.820Z,9.4392,126.1099,92.25,4.5,mb,,128,2.412,0.61,us,us1000f041,2018-06-24T14:51:45.463Z,"18km NE of Cantilan, Philippines",earthquake,11.5,8.7,0.072,56,reviewed,us,us
2018-06-24T05:16:17.760Z,21.6646,144.2954,116.89,4.5,mb,,115,5.739,0.56,us,us1000f03h,2018-06-24T06:11:33.040Z,"139km NNW of Farallon de Pajaros, Northern Mariana Islands",earthquake,13.4,8.4,0.09,36,reviewed,us,us
2018-06-24T05:01:48.810Z,-24.2344,-66.9333,181.13,4.8,mww,,35,1.713,1.14,us,us1000f02q,2018-06-24T11:36:47.985Z,"62km W of San Antonio de los Cobres, Argentina",earthquake,7.6,7.3,0.073,18,reviewed,us,us
2018-06-24T03:32:33.990Z,-24.1622,-179.9276,517.27,4.5,mb,,72,5.368,0.6,us,us1000f02c,2018-06-24T04:01:31.040Z,"South of the Fiji Islands",earthquake,12.8,7.5,0.044,153,reviewed,us,us
2018-06-24T02:34:35.940Z,19.4103333,-155.2868333,-1.14,5.2,mw,61,22,0.007734,0.34,hv,hv70311776,2018-06-24T22:55:18.831Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.17,31.61,,24,reviewed,hv,hv
2018-06-23T22:17:44.900Z,3.9013,126.7619,10,4.6,mb,,121,3.166,0.74,us,us1000ezwv,2018-06-23T22:42:32.040Z,"219km SE of Sarangani, Philippines",earthquake,9.1,1.9,0.091,36,reviewed,us,us
2018-06-23T21:54:31.190Z,12.5053,-88.8181,10,4.6,mb,,166,1.241,1.19,us,us1000ezw9,2018-06-23T22:12:15.040Z,"90km SSW of Puerto El Triunfo, El Salvador",earthquake,6.8,1.9,0.068,65,reviewed,us,us
2018-06-23T21:13:36.680Z,27.8787,52.1373,10,4.6,mb,,59,4.672,0.62,us,us1000ezuy,2018-06-23T22:05:24.459Z,"115km SSW of Firuzabad, Iran",earthquake,7.5,1.9,0.06,83,reviewed,us,us
2018-06-23T19:45:45.610Z,-12.9729,45.5559,10,4.9,mb,,53,6.222,0.55,us,us1000ezt2,2018-06-23T22:59:33.508Z,"35km SE of Pamandzi, Mayotte",earthquake,8.8,1.9,0.069,66,reviewed,us,us
2018-06-23T13:38:46.520Z,-29.8887,-179.0886,327.56,4.9,mb,,77,1.196,0.98,us,us1000ezk1,2018-06-23T15:06:49.040Z,"134km WSW of Raoul Island, New Zealand",earthquake,7.1,5.4,0.062,80,reviewed,us,us
2018-06-23T11:23:36.300Z,-19.3808,-175.4956,241.23,4.5,mb,,110,5.27,1.13,us,us1000ezi7,2018-06-29T06:12:37.040Z,"128km WNW of Pangai, Tonga",earthquake,10.8,13.1,0.108,25,reviewed,us,us
2018-06-23T04:52:16.230Z,19.3986667,-155.2741667,0.33,5.3,mw,22,48,0.003318,0.1,hv,hv70307431,2018-06-28T22:26:10.040Z,"5km SW of Volcano, Hawaii",volcanic eruption,0.13,0.15,,23,reviewed,hv,hv
2018-06-23T03:50:06.470Z,38.6085,44.3634,10,4.6,mb,,39,1.565,0.95,us,us1000ezck,2018-06-23T04:07:37.040Z,"17km ESE of Saray, Turkey",earthquake,5.2,1.9,0.06,83,reviewed,us,us
2018-06-23T02:31:35.500Z,-44.4856,-79.7662,10,5.1,mww,,140,4.624,0.95,us,us1000ezal,2018-06-23T02:47:34.040Z,"Off the coast of Aisen, Chile",earthquake,7.9,1.9,0.073,18,reviewed,us,us
2018-06-23T01:54:42.320Z,10.7643,-62.6274,106.32,5.1,mww,,30,1.661,1.1,us,us1000ez9p,2018-06-23T17:11:49.396Z,"22km NNW of Irapa, Venezuela",earthquake,6.9,6.3,0.071,19,reviewed,us,us
2018-06-23T00:54:59.070Z,-10.322,161.0664,38.09,5.2,mb,,58,1.409,0.75,us,us1000ez8g,2018-06-23T01:08:29.040Z,"94km W of Kirakira, Solomon Islands",earthquake,7.3,6.9,0.068,71,reviewed,us,us
2018-06-23T00:33:38.160Z,-10.2631,161.1162,16.58,5.5,mww,,36,1.413,0.66,us,us1000ez7w,2018-06-25T14:42:02.040Z,"90km WNW of Kirakira, Solomon Islands",earthquake,5.2,3.2,0.073,18,reviewed,us,us
2018-06-22T20:57:43.970Z,-4.932,108.3546,646.7,5.3,mww,,31,2.954,1.01,us,us1000ez1q,2018-06-23T17:11:14.040Z,"154km N of Indramayu, Indonesia",earthquake,9.2,4.9,0.071,19,reviewed,us,us
2018-06-22T20:08:54.300Z,3.8371,-76.2542,90.64,4.5,mb,,96,2.172,1.12,us,us1000ez04,2018-06-23T16:31:56.691Z,"8km SE of Buga, Colombia",earthquake,7.8,8.6,0.082,43,reviewed,us,us
2018-06-22T19:24:30.490Z,-10.0295,161.6503,43.03,5.4,mww,,42,1.778,0.69,us,us1000eyyg,2018-06-23T17:12:14.040Z,"55km NNW of Kirakira, Solomon Islands",earthquake,6.2,4.5,0.083,14,reviewed,us,us
2018-06-22T14:22:32.640Z,-10.6412,165.949,41.43,4.6,mb,,252,6.03,0.7,us,us2000fqal,2018-06-29T07:02:44.040Z,"15km ENE of Lata, Solomon Islands",earthquake,8.2,14.6,0.206,7,reviewed,us,us
2018-06-22T12:50:03.250Z,-12.9645,45.7444,10,4.5,mb,,72,6.186,0.57,us,us1000ezf3,2018-06-23T05:55:45.565Z,"53km ESE of Pamandzi, Mayotte",earthquake,8.3,1.9,0.15,13,reviewed,us,us
2018-06-22T06:20:57.590Z,-40.4747,176.8953,20.55,4.6,mb,,152,0.535,0.89,us,us1000eyb7,2018-06-22T08:20:40.849Z,"74km NE of Castlepoint, New Zealand",earthquake,6.3,7.7,0.158,12,reviewed,us,us
2018-06-22T04:41:02.390Z,-28.7293,-70.8102,10,4.7,mb,,93,0.296,0.8,us,us1000eya4,2018-06-22T05:21:23.040Z,"18km SSW of Vallenar, Chile",earthquake,4.9,1.3,0.074,55,reviewed,us,us
2018-06-22T01:41:54.690Z,-19.4742,-70.5131,60.13,4.7,mb,,136,0.857,1.03,us,us1000ey8e,2018-06-22T03:18:47.523Z,"91km NNW of Iquique, Chile",earthquake,2.1,8.4,0.159,12,reviewed,us,us
2018-06-22T00:03:25.250Z,-6.6038,131.9219,10,4.6,mb,,58,1.502,0.88,us,us1000ey7g,2018-06-23T22:33:43.040Z,"138km SW of Tual, Indonesia",earthquake,7.3,1.9,0.085,42,reviewed,us,us
2018-06-21T23:12:59.370Z,19.4113333,-155.2833333,0.47,5.4,mw,37,24,0.006337,0.09,hv,hv70301461,2018-06-23T03:05:19.357Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.13,0.09,,9,reviewed,hv,hv
2018-06-21T22:58:54.660Z,-6.4027,130.0179,160.31,4.7,mb,,83,2.019,1.15,us,us1000ey65,2018-06-23T22:25:51.040Z,"223km NW of Saumlaki, Indonesia",earthquake,7.2,4.2,0.069,64,reviewed,us,us
2018-06-21T21:13:32.650Z,-17.7964,168.0564,28,6.1,mww,,14,3.063,1.31,us,us1000ey2i,2018-06-25T20:09:48.891Z,"28km WSW of Port-Vila, Vanuatu",earthquake,6.6,1.7,0.04,59,reviewed,us,us
